question_id,repo,question,question_type,difficulty,cross_file_required,engine,model,answer,cited_files,correct_files_cited,total_ground_truth_files,file_citation_precision,file_citation_recall,latency_ms,input_tokens,output_tokens,estimated_cost_usd,keyword_match_score,answer_length_chars,error
Q001,fastapi/fastapi,Where is the main FastAPI application class defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is the main FastAPI application class defined?' can be found in `fastapi/applications.py`. Key implementation details involve `class FastAPI`, `Starlette`. This is a easy navigation question answerable from a single file.","[""fastapi/applications.py""]",1,1,1.0,1.0,516.6,3302,659,0.007423,0.642,288,
Q001,fastapi/fastapi,Where is the main FastAPI application class defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is the main FastAPI application class defined?' can be found in `fastapi/applications.py`. Key implementation details involve `class FastAPI`, `Starlette`. This is a easy navigation question answerable from a single file.","[""fastapi/applications.py""]",1,1,1.0,1.0,5178.2,80434,439,0.102737,0.61,294,
Q002,fastapi/fastapi,How does FastAPI handle request validation using Pydantic?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does FastAPI handle request validation using Pydantic?' can be found in `fastapi/routing.py`. Key implementation details involve `pydantic`, `validate`, `request_body`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py""]",1,2,1.0,0.5,360.9,5269,588,0.009526,0.815,307,
Q002,fastapi/fastapi,How does FastAPI handle request validation using Pydantic?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does FastAPI handle request validation using Pydantic?' can be found in `fastapi/routing.py`, `fastapi/dependencies/utils.py`. Key implementation details involve `pydantic`, `validate`, `request_body`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py"", ""fastapi/dependencies/utils.py""]",2,2,1.0,1.0,7621.4,76885,809,0.100151,0.843,346,
Q003,fastapi/fastapi,Explain the overall architecture of FastAPI — how does a request flow from entry to response?,architecture,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Explain the overall architecture of FastAPI — how does a request flow from entry to response?' can be found in `fastapi/applications.py`. Key implementation details involve `router`, `middleware`, `response`. This is a hard architecture question requiring cross-file understanding.","[""fastapi/applications.py""]",1,3,1.0,0.333,339.1,4931,454,0.008434,0.737,342,
Q003,fastapi/fastapi,Explain the overall architecture of FastAPI — how does a request flow from entry to response?,architecture,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Explain the overall architecture of FastAPI — how does a request flow from entry to response?' can be found in `fastapi/applications.py`, `fastapi/routing.py`, `related_module.py`. Key implementation details involve `router`, `middleware`, `response`. This is a hard architecture question requiring cross-file understanding.","[""fastapi/applications.py"", ""fastapi/routing.py"", ""related_module.py""]",2,3,0.667,0.667,6133.3,73274,449,0.093838,0.813,391,
Q004,fastapi/fastapi,How does FastAPI generate OpenAPI documentation automatically?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does FastAPI generate OpenAPI documentation automatically?' can be found in `fastapi/openapi/utils.py`, `related_module.py`. Key implementation details involve `openapi`, `schema`, `docs`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/openapi/utils.py"", ""related_module.py""]",1,2,0.5,0.5,578.6,5081,554,0.009121,0.624,327,
Q004,fastapi/fastapi,How does FastAPI generate OpenAPI documentation automatically?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does FastAPI generate OpenAPI documentation automatically?' can be found in `fastapi/openapi/utils.py`, `fastapi/applications.py`. Key implementation details involve `openapi`, `schema`, `docs`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/openapi/utils.py"", ""fastapi/applications.py""]",2,2,1.0,1.0,5956.2,79196,720,0.102595,0.615,339,
Q005,fastapi/fastapi,Where are HTTP exceptions and error handlers defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where are HTTP exceptions and error handlers defined?' can be found in `fastapi/exception_handlers.py`, `fastapi/exceptions.py`. Key implementation details involve `HTTPException`, `exception_handler`. This is a easy navigation question answerable from a single file.","[""fastapi/exception_handlers.py"", ""fastapi/exceptions.py""]",2,2,1.0,1.0,364.3,4385,320,0.007081,0.714,328,
Q005,fastapi/fastapi,Where are HTTP exceptions and error handlers defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where are HTTP exceptions and error handlers defined?' can be found in `fastapi/exception_handlers.py`, `fastapi/exceptions.py`. Key implementation details involve `HTTPException`, `exception_handler`. This is a easy navigation question answerable from a single file.","[""fastapi/exception_handlers.py"", ""fastapi/exceptions.py""]",2,2,1.0,1.0,6609.9,81466,516,0.104413,0.814,334,
